"version","experiment","variant","camera","file","bytes"
"v3","v3_A","low_g_bouncy","CAM_Top","v3\v3_A\low_g_bouncy\CAM_Top\v3_A_low_g_bouncy_CAM_Top_0001-0240.mp4","647453"
"v3","v3_B","base","CAM_Main","v3\v3_B\base\CAM_Main\v3_B_base_CAM_Main_0001-0240.mp4","716279"
"v3","v3_B","base","CAM_Side","v3\v3_B\base\CAM_Side\v3_B_base_CAM_Side_0001-0240.mp4","662040"
"v3","v3_B","base","CAM_Top","v3\v3_B\base\CAM_Top\v3_B_base_CAM_Top_0001-0240.mp4","824101"
"v3","v3_B","fast_high_damp","CAM_Main","v3\v3_B\fast_high_damp\CAM_Main\v3_B_fast_high_damp_CAM_Main_0001-0240.mp4","708783"
"v3","v3_B","fast_high_damp","CAM_Side","v3\v3_B\fast_high_damp\CAM_Side\v3_B_fast_high_damp_CAM_Side_0001-0240.mp4","653064"
"v3","v3_B","fast_high_damp","CAM_Top","v3\v3_B\fast_high_damp\CAM_Top\v3_B_fast_high_damp_CAM_Top_0001-0240.mp4","812226"
"v3","v3_B","fast_low_damp","CAM_Main","v3\v3_B\fast_low_damp\CAM_Main\v3_B_fast_low_damp_CAM_Main_0001-0240.mp4","729741"
"v3","v3_B","fast_low_damp","CAM_Side","v3\v3_B\fast_low_damp\CAM_Side\v3_B_fast_low_damp_CAM_Side_0001-0240.mp4","681810"
"v3","v3_B","fast_low_damp","CAM_Top","v3\v3_B\fast_low_damp\CAM_Top\v3_B_fast_low_damp_CAM_Top_0001-0240.mp4","844815"
"v3","v3_B","slow_low_damp","CAM_Main","v3\v3_B\slow_low_damp\CAM_Main\v3_B_slow_low_damp_CAM_Main_0001-0240.mp4","722753"
"v3","v3_B","slow_low_damp","CAM_Side","v3\v3_B\slow_low_damp\CAM_Side\v3_B_slow_low_damp_CAM_Side_0001-0240.mp4","668985"
